id,facility_name,business_status,road_address,parcel_address,phone,area_sqm,facility_type,latitude,longitude
39,좋아서하는 동물병원,영업/정상,"서울특별시 용산구 백범로 341, B동 지상1층 113,114호 (원효로1가, 리첸시아 용산)","서울특별시 용산구 원효로1가 133-3 리첸시아 용산 B동 113,114호",02-703-0075,66.34,동물병원,37.53827570,126.96736299
40,펫동물병원,영업/정상,"서울특별시 용산구 백범로 285, 지상1층 (효창동)",서울특별시 용산구 효창동 79-1번지 지상1층,3275-0079,52.63,동물병원,37.53959719,126.96108259
41,한사랑동물병원,영업/정상,서울특별시 용산구 신흥로 36-1 (용산동2가),서울특별시 용산구 용산동2가 45-7,749-8275,71.74,동물병원,37.54170506,126.98739821
42,원효종합동물병원,영업/정상,서울특별시 용산구 새창로 122-2(용문동),서울특별시 용산구 용문동 25-36,719-7070,35.82,동물병원,37.53654015,126.96073157
43,달래동물의료센터,영업/정상,"서울특별시 용산구 한남대로 76, 한남프라자 2층 (한남동)",서울특별시 용산구 한남동 707-36 한남프라자 2층,794-1255,191.00,동물병원,37.53556507,127.00651531
44,민트동물병원,영업/정상,"서울특별시 용산구 원효로 51, 119호 (산천동, 삼성테마트)",서울특별시 용산구 산천동 202번지 삼성테마트 119호,707-2235,94.77,동물병원,37.53402786,126.95040853
45,이태원동물병원,영업/정상,"서울특별시 용산구 녹사평대로 210, 지하1, 1, 2층층 일부호 (이태원동)",서울특별시 용산구 이태원동 531,797-6677,140.40,동물병원,37.53640807,126.98723896
46,퍼스동물병원,영업/정상,"서울특별시 용산구 신흥로 54, 106호 (용산동2가, 북동연립)",서울특별시 용산구 용산동2가 45-1번지 106호,02-790-7508,42.75,동물병원,37.54310083,126.98783237
47,바다동물병원(Bada Animal Hospital),영업/정상,"서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)",서울특별시 용산구 용산동5가 24번지 파크타워 지하1층 비21호,02-792-2561,48.00,동물병원,37.52427450,126.97068469
48,24시 시유동물메디컬센터,영업/정상,"서울특별시 용산구 이촌로64길 24, 지상1층 101호 (이촌동)",서울특별시 용산구 이촌동 302-88 지상1층 101호,02-793-0075,248.47,동물병원,37.52000753,126.96990736
49,베이동물병원,영업/정상,"서울특별시 용산구 이촌로 248, 11동 102호 (이촌동, 한강맨션)",서울특별시 용산구 이촌동 300-23번지 한강맨션 11동 102호,02-749-7588,40.51,동물병원,37.51933005,126.97502656
50,더힐동물의료센터,영업/정상,"서울특별시 용산구 독서당로 81-1, 아이리스프라자 지상3층 (한남동)",서울특별시 용산구 한남동 29-6 아이리스프라자 지상3층,02-792-8275,224.40,동물병원,37.53469114,127.00960395
51,금강동물병원,영업/정상,"서울특별시 용산구 이촌로 300, 렉스상가 8-1,8-2호 (이촌동)","서울특별시 용산구 이촌동 301-263 렉스상가 8-1,8-2호",798-7512,49.58,동물병원,37.51789536,126.98004032
52,라온동물병원,영업/정상,서울특별시 용산구 회나무로13길 6 (이태원동),서울특별시 용산구 이태원동 225-93,792-7585,74.45,동물병원,37.53964632,126.98956120
53,아프리카동물병원,영업/정상,서울특별시 용산구 후암로 32 (후암동),서울특별시 용산구 후암동 244-11,773-1119,74.43,동물병원,37.54871066,126.97793911
54,엉클장동물병원,영업/정상,"서울특별시 용산구 백범로 341, A동 지상1층 106호 (원효로1가, 리첸시아 용산)",서울특별시 용산구 원효로1가 133-3번지 리첸시아 용산 A동 106호,713-0053,32.40,동물병원,37.53827570,126.96736299
55,청화종합동물병원,영업/정상,"서울특별시 용산구 장문로 18, 2층 (동빙고동)",서울특별시 용산구 동빙고동 7-19,792-7602,284.00,동물병원,37.52843335,126.99235553
56,펫토이동물병원,영업/정상,서울특별시 용산구 대사관로 32 (한남동),서울특별시 용산구 한남동 653-26번지,795-2184,36.19,동물병원,37.53350887,127.00168324
57,남산동물병원,영업/정상,"서울특별시 용산구 후암로 51, 지상1층 (후암동)",서울특별시 용산구 후암동 63-1번지 지상1층,778-7582,51.40,동물병원,37.55049864,126.97710537
58,효창동물병원,영업/정상,서울특별시 용산구 백범로 293 (효창동),서울특별시 용산구 효창동 70-11,711-4527,60.50,동물병원,37.53931821,126.96188663
59,오렌지동물병원,영업/정상,서울특별시 성동구 행당로8길 41-2 (행당동),서울특별시 성동구 행당동 322-100,02-2297-7582,117.54,동물병원,37.55604218,127.03396804
60,제인동물병원,영업/정상,서울특별시 성동구 뚝섬로 395 (성수동2가),서울특별시 성동구 성수동2가 339-23번지,02-468-7582,51.60,동물병원,37.53904852,127.05468952
61,한빛동물병원,영업/정상,서울특별시 성동구 금호산길 58(금호동2가),서울특별시 성동구 금호동2가 485-1,02-2233-1848,65.12,동물병원,37.55334339,127.01955065
62,아지동물병원,영업/정상,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",서울특별시 성동구 금호동4가 1108번지 지상1층,02-6085-7750,23.95,동물병원,37.54803811,127.02104526
63,24시센트럴동물메디컬센터,영업/정상,서울특별시 성동구 고산자로 207 (행당동),서울특별시 성동구 행당동 318-36,02-3395-7975,240.00,동물병원,37.55867946,127.03369109
64,오석헌동물병원,영업/정상,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,02-6402-0301,28.78,동물병원,37.54496006,127.01384616
65,옥수수 동물병원,영업/정상,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",서울특별시 성동구 옥수동 560 어울림상가 301~4호,02-2291-7582,292.87,동물병원,37.54230867,127.01819163
66,바라봄동물병원,영업/정상,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)",,02-2297-9300,35.00,동물병원,37.56611045,127.02764654
67,달링동물병원,영업/정상,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",서울특별시 성동구 성수동1가 718번지 트리마제,02-466-8215,51.00,동물병원,37.53882400,127.04504588
68,포레동물병원,영업/정상,"서울특별시 성동구 상원길 59, 쌍용아파트상가B동 107호 (성수동1가)",서울특별시 성동구 성수동1가 706 쌍용아파트상가B동 107호,02-468-7975,25.89,동물병원,37.54951194,127.04711034
69,왕십리조은동물병원,영업/정상,서울특별시 성동구 왕십리로 381 (하왕십리동),서울특별시 성동구 하왕십리동 892-4,02-2297-0075,55.39,동물병원,37.56456651,127.02787855
70,스테이동물병원,영업/정상,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",서울특별시 성동구 옥수동 528번지 이편한세상옥수파크힐스,02-2282-7501,43.80,동물병원,37.54833255,127.01389080
71,이윤세동물병원,영업/정상,"서울특별시 성동구 행당로 76, 한진노변상가 1,2층 108호109호203호 (행당동)",서울특별시 성동구 행당동 346번지 한진노변상가 109호,02-2282-7503,63.00,동물병원,37.55588047,127.02920737
72,한양동물메디컬센터,영업/정상,서울특별시 성동구 왕십리로 282 (행당동),서울특별시 성동구 행당동 226-3,02-2281-5200,101.00,동물병원,37.55966175,127.03701390
73,금호동물병원,영업/정상,"서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",서울특별시 성동구 금호동2가 1217번지 래미안하이리버 상가동 비201호,0222810049,62.50,동물병원,37.55129244,127.02454138
74,바른동물병원,영업/정상,"서울특별시 성동구 독서당로 270, 상가동 2층 206호 (금호동4가, 금호동 대우아파트)",서울특별시 성동구 금호동4가 800번지 금호동대우아파트 상가동 206호,02-2297-7570,62.12,동물병원,37.54597275,127.01968327
75,기린동물병원,영업/정상,서울특별시 성동구 마장로 296 (마장동),서울특별시 성동구 마장동 791-9번지,02-2291-8275,48.20,동물병원,37.56569155,127.04277598
76,도담동물병원(출장진료전문 동물병원),영업/정상,"서울특별시 성동구 독서당로59길 84, 신동아아파트상가동 1층 111호 (행당동)",서울특별시 성동구 행당동 344번지 111호,,16.50,동물병원,37.55437108,127.03283691
77,라임동물병원,영업/정상,서울특별시 성동구 무학로 16 (홍익동),서울특별시 성동구 홍익동 398-2번지,02-2281-8122,148.55,동물병원,37.56553887,127.03031722
78,평생피부과동물병원,영업/정상,"서울특별시 성동구 행당로 76, 110호 (행당동, 한진노변상가)",서울특별시 성동구 행당동 346 한진노변상가 110호,02-3395-0075,26.32,동물병원,37.55588047,127.02920737
79,베이지동물병원,영업/정상,"서울특별시 성동구 왕십리로 410, D동 106호 (하왕십리동, 센트라스)",서울특별시 성동구 하왕십리동 1070 센트라스상가 D동 106호,02-2295-9888,47.50,동물병원,37.56611045,127.02764654
80,왕십리동물병원,영업/정상,"서울특별시 성동구 무학로6길 50, 101동 225호 (도선동, 성동삼성쉐르빌)",서울특별시 성동구 도선동 69 성동삼성쉐르빌 101동 225호,02-2138-1888,40.18,동물병원,37.56439313,127.03493636
81,성수 숲속 피부과 동물병원,영업/정상,"서울특별시 성동구 서울숲2길 32-14, 지하1층 B114호 (성수동1가, 갤러리아 포레)",서울특별시 성동구 성수동1가 685-696 갤러리아 포레 지하1층 B114호,0222052975,85.00,동물병원,37.54578255,127.04247861
82,오늘동물병원,영업/정상,"서울특별시 성동구 왕십리로 104, 영화빌딩 2층 (성수동1가)",서울특별시 성동구 성수동1가 656-968번지 영화빌딩 2층,024697975,83.10,동물병원,37.54686572,127.04486877
83,BK심장동물병원,영업/정상,"서울특별시 성동구 고산자로6길 40, 행당동 레몬프라자 1층 113호 (행당동)",서울특별시 성동구 행당동 140 행당동 레몬프라자 1층 113호,027909808,38.60,동물병원,37.55825948,127.03555539
84,조형선외과동물병원,영업/정상,"서울특별시 성동구 금호로 146, 제1, 2층 (금호동1가)",서울특별시 성동구 금호동1가 526,02-2282-0119,99.00,동물병원,37.55414913,127.02087102
85,아이본 동물병원,영업/정상,"서울특별시 광진구 자양로 65, 화성빌딩 1층 (자양동)",서울특별시 광진구 자양동 657-5 화성빌딩 1층,02-455-5975,140.00,동물병원,37.53363083,127.08436413
86,비비동물병원,영업/정상,"서울특별시 광진구 능동로 21, 1층 (자양동)",서울특별시 광진구 자양동 65-1,02-2039-7770,,동물병원,37.53350229,127.06728335
87,다봄 동물병원,영업/정상,"서울특별시 광진구 자양로 163, 우남빌딩 (구의동)",서울특별시 광진구 구의동 254-36 우남빌딩 1층,02-456-7775,139.53,동물병원,37.54224260,127.08377813
88,아크로벳 내과동물병원,영업/정상,"서울특별시 광진구 광나루로 582, 세종빌딩 1층 (구의동)",서울특별시 광진구 구의동 202-3 1층,02-2088-7119,118.20,동물병원,37.54308586,127.09336504
89,Severance AMC,영업/정상,"서울특별시 광진구 천호대로 512, 군자빌딩 b층 02호 (군자동)",서울특별시 광진구 군자동 466-17 군자빌딩,,,동물병원,37.55842208,127.07528109
90,우주동물병원,영업/정상,"서울특별시 광진구 자양로15길 30, 1층 (자양동)",서울특별시 광진구 자양동 612-56,,101.56,동물병원,37.53568514,127.08190009
91,나루동물병원,영업/정상,서울특별시 광진구 아차산로 537-17 (광장동),서울특별시 광진구 광장동 582,457-7582,116.79,동물병원,37.54317963,127.09956206
92,다온동물병원,영업/정상,서울특별시 광진구 면목로 142 (중곡동),서울특별시 광진구 중곡동 193-29,499-7582,88.62,동물병원,37.56595241,127.08147870
93,자양동물병원,영업/정상,서울특별시 광진구 뚝섬로52길 4 (자양동),서울특별시 광진구 자양동 606-27번지,456-0975,56.30,동물병원,37.53179359,127.07934915
94,드림펫 동물병원,영업/정상,"서울특별시 광진구 능동로 407, 2층 (중곡동)",서울특별시 광진구 중곡동 166-6번지,464-7588,111.29,동물병원,37.56543224,127.08379556
95,노룬산동물병원,영업/정상,서울특별시 광진구 뚝섬로 462 (자양동),서울특별시 광진구 자양동 236-127,464-2748,88.00,동물병원,37.53688770,127.06177824
96,스마트동물병원군자점,영업/정상,서울특별시 광진구 능동로43길 3-5 (중곡동),서울특별시 광진구 중곡동 162-8,02-464-7582,82.00,동물병원,37.56083006,127.08123588
97,프라임동물병원,영업/정상,서울특별시 광진구 아차산로 451 (구의동),서울특별시 광진구 구의동 659번지 세림리오빌아파트 제비1-1호,457-0292,40.88,동물병원,37.53930405,127.09199075
98,동서울동물병원,영업/정상,서울특별시 광진구 아차산로 493 (광장동),서울특별시 광진구 광장동 517-5번지 삼익아파트,444-7533,127.00,동물병원,37.54179867,127.09619690
99,피카소동물병원,영업/정상,서울특별시 광진구 광나루로 392-1 (화양동),서울특별시 광진구 화양동 216,467-3673,98.18,동물병원,37.54729229,127.07327668
100,용마동물병원,영업/정상,서울특별시 광진구 용마산로 66 (중곡동),서울특별시 광진구 중곡동 58-18번지,446-2349,52.93,동물병원,37.55952569,127.08788433
101,중곡동물병원,영업/정상,서울특별시 광진구 긴고랑로 47 (중곡동),서울특별시 광진구 중곡동 241-34번지,462-5595,58.00,동물병원,37.56274957,127.08157227
102,방주종합동물병원,영업/정상,서울특별시 광진구 능동로 334 (중곡동),서울특별시 광진구 중곡동 161-27번지,454-9975,65.00,동물병원,37.55932687,127.08094305
103,광진동물의료센터,영업/정상,서울특별시 광진구 광나루로 507 (구의동),서울특별시 광진구 구의동 68-37,457-4545,125.40,동물병원,37.54524387,127.08595673
104,이다종합동물병원,영업/정상,서울특별시 광진구 뚝섬로 504 (자양동),서울특별시 광진구 자양동 553-280,463-7075,53.82,동물병원,37.53580895,127.06607587
105,나래동물병원,영업/정상,서울특별시 광진구 능동로 283 (군자동),서울특별시 광진구 군자동 1-2,463-3216,59.71,동물병원,37.55534975,127.07815368
106,보람동물병원,영업/정상,서울특별시 광진구 군자로 84 (군자동),서울특별시 광진구 군자동 363-4번지,465-7582,60.08,동물병원,37.55052198,127.07116081
107,애플동물병원,영업/정상,서울특별시 광진구 천호대로 642-1 (능동),서울특별시 광진구 능동 256-1,455-0077,99.64,동물병원,37.55319039,127.08830463
108,로엘동물병원,영업/정상,서울특별시 광진구 뚝섬로 622-1 (자양동),서울특별시 광진구 자양동 606-14번지,457-8575,49.14,동물병원,37.53205062,127.07878315
109,해맑은동물병원,영업/정상,서울특별시 광진구 뚝섬로 670 (자양동),서울특별시 광진구 자양동 662-13,02-6954-7582,99.00,동물병원,37.53159697,127.08393793
110,로얄 도그앤캣 메디컬센터,영업/정상,"서울특별시 광진구 능동로 49 (자양동, 영지빌딩)",서울특별시 광진구 자양동 550-1,468-6612,93.57,동물병원,37.53581427,127.06833403
111,광진24시필동물병원,영업/정상,"서울특별시 광진구 광나루로56길 66, 201, 202호 (구의동)",서울특별시 광진구 구의동 611 구의현대2단지아파트,02-446-8175,189.00,동물병원,37.53862749,127.09587403
112,쿨펫동물병원,영업/정상,"서울특별시 광진구 아차산로 272 (자양동, 이마트 자양점)",,02-2024-1253,55.16,동물병원,37.53780315,127.07263205
113,연두동물병원,영업/정상,서울특별시 광진구 광나루로 524 (구의동),,024550975,65.00,동물병원,37.54472297,127.08768222
114,건국대학교 부속 동물병원,영업/정상,서울특별시 광진구 능동로 120 (화양동),서울특별시 광진구 화양동 1,450-0472,1674.45,동물병원,37.54254119,127.07372515
115,쥬라기동물병원,영업/정상,서울특별시 광진구 광나루로 601 (광장동),서울특별시 광진구 광장동 530-39,455-7570,69.00,동물병원,37.54209727,127.09521269
116,서울동물병원,영업/정상,"서울특별시 광진구 천호대로 623-1, 1층 (중곡동)",서울특별시 광진구 중곡동 119-7,2038-8253,86.31,동물병원,37.55455296,127.08707593
117,준동물병원,영업/정상,서울특별시 광진구 뚝섬로 541 (자양동),서울특별시 광진구 자양동 553-588,457-2220,79.00,동물병원,37.53491934,127.07037758
118,서울어린이대공원동물병원,영업/정상,서울특별시 광진구 능동로 216 (능동),서울특별시 광진구 능동 18-0,450-9372,263.40,동물병원,37.54958904,127.08157784
119,파라곤동물병원,영업/정상,"서울특별시 광진구 광나루로 361, 2동 103호 (군자동, 광진동양파라곤)",,02-498-7588,39.62,동물병원,37.54847541,127.06972559
120,서울대학교동물검진센터,영업/정상,"서울특별시 광진구 구의강변로 46, 금성빌딩 1,2층 (구의동)",서울특별시 광진구 구의동 594-4 금성빌딩,02-6930-5747,0.00,동물병원,37.53491058,127.09213069
121,24시 동대문 루시드 동물메디컬센터,영업/정상,"서울특별시 동대문구 전농로 57-1, 1층,2층,지하1층 동대문 루시드 동물메디컬센터 (답십리동)",서울특별시 동대문구 답십리동 259-22,0262170202,,동물병원,37.57012679,127.05691984
122,아인스동물병원,영업/정상,"서울특별시 동대문구 장한로 44, 1층 (장안동)",서울특별시 동대문구 장안동 435-6번지,02-2213-0075,128.78,동물병원,37.56507052,127.06738707
123,현대종합동물병원,영업/정상,"서울특별시 동대문구 답십리로 293, 1층 (장안동)",서울특별시 동대문구 장안동 330-2,02-2212-7596,0.00,동물병원,37.57250674,127.07305558
124,주연동물병원,영업/정상,서울특별시 중랑구 면목로 273 (면목동),서울특별시 중랑구 면목동 353-25번지,2207-9931,0.00,동물병원,37.57729473,127.08570677
125,땅콩동물병원,영업/정상,서울특별시 동대문구 답십리로 224-1 (답십리동),서울특별시 동대문구 답십리동 3-125,02-3394-7075,0.00,동물병원,37.57258295,127.06526614
126,맑은 동물병원,영업/정상,"서울특별시 동대문구 청계천로 417, 108호 (신설동, 청계천 대성 스카이렉스1)",서울특별시 동대문구 신설동 109-13번지 청계천 대성 스카이렉스1,02-2234-1379,0.00,동물병원,37.57199845,127.02391201
127,그린동물병원,영업/정상,"서울특별시 동대문구 정릉천동로 58, 1층 125호 (용두동, 롯데캐슬피렌체)",서울특별시 동대문구 용두동 790번지 롯데캐슬피렌체,02-957-7075,41.80,동물병원,37.57718453,127.03572144
128,엘동물병원,영업/정상,서울특별시 동대문구 고산자로 393-5 (용두동),서울특별시 동대문구 용두동 38-17번지,02-3295-3927,49.50,동물병원,37.57467047,127.03762947
129,제연동물병원,영업/정상,서울특별시 동대문구 답십리로 77 (전농동),서울특별시 동대문구 전농동 652-1번지,02-2242-7975,0.00,동물병원,37.57512659,127.04962176
130,VIP동물의료센터 동대문점,영업/정상,서울특별시 동대문구 한천로14길 87(장안동),서울특별시 동대문구 장안동 376-3,02-2215-7522,256.50,동물병원,37.56640725,127.06756835
131,페트로동물의료원,영업/정상,서울특별시 동대문구 답십리로63길 1(장안동),서울특별시 동대문구 장안동 140-8,02-2249-7600,0.00,동물병원,37.57286268,127.06770327
132,하나동물병원,영업/정상,서울특별시 동대문구 망우로 66 (휘경동),서울특별시 동대문구 휘경동 267-84,02-6242-7500,0.00,동물병원,37.58949260,127.06096030
133,봄봄동물병원,영업/정상,서울특별시 동대문구 회기로18길 46 (회기동),서울특별시 동대문구 회기동 62-8번지,02-969-7579,0.00,동물병원,37.59034382,127.05404920
134,아띠동물의료센터,영업/정상,서울특별시 동대문구 사가정로 51 (전농동),서울특별시 동대문구 전농동 322-31번지,02-6242-8275,0.00,동물병원,37.57374081,127.05233302
135,스마트동물병원,영업/정상,"서울특별시 동대문구 한천로 164, 1층 (장안동)",서울특별시 동대문구 장안동 483,02-2242-0175,0.00,동물병원,37.57551298,127.06767818
136,바론동물병원,영업/정상,"서울특별시 동대문구 이문로 136, 2층 208호 (이문동, 이문동 웰츠타워)",서울특별시 동대문구 이문동 292-10번지 이문동 웰츠타워,02-965-0075,0.00,동물병원,37.59848837,127.06189470
137,더케이동물병원,영업/정상,"서울특별시 동대문구 답십리로 140, 세기프라자 2층 211호 (답십리동)",서울특별시 동대문구 답십리동 1003-2번지 세기프라자,02-2213-8875,0.00,동물병원,37.57247269,127.05564225
138,하이유 동물병원,영업/정상,서울특별시 동대문구 전농로 15-3 (답십리동),서울특별시 동대문구 답십리동 490-57번지,02-2242-7510,59.04,동물병원,37.56662025,127.05590756
139,심재웅동물병원,영업/정상,서울특별시 동대문구 망우로 120 (휘경동),서울특별시 동대문구 휘경동 34-48번지,02-2244-7755,26.00,동물병원,37.59110329,127.06651545
